id,revenue
3001,8078789.5
3002,3973313.8
3003,7556683.5
3004,6623286.5
3005,325348.6
3006,3028716.5
3007,1089903.8
3008,39845750.0
3009,23442166.0
3010,364529150.0
3011,197138.83
3012,57248.953
3013,31203432.0
3014,296249.0
3015,21434496.0
3016,71188.83
3017,80056110.0
3018,200542940.0
3019,12920413.0
3020,428752540.0
3021,32481668.0
3022,20781050.0
3023,68418.12
3024,7374421.0
3025,147211.38
3026,103901096.0
3027,11799856.0
3028,135300800.0
3029,39615.27
3030,10742805.0
3031,5051947.5
3032,2075470.9
3033,37017.73
3034,29355.93
3035,435828.88
3036,32781850.0
3037,57019610.0
3038,31940962.0
3039,2390338.5
3040,657761.9
3041,16632087.0
3042,3098403.2
3043,5237657.0
3044,675284.4
3045,633774850.0
3046,844991.7
3047,873564.94
3048,25370774.0
3049,45169588.0
3050,52849610.0
3051,14313.494
3052,8848596.0
3053,170740.48
3054,47802.07
3055,45565120.0
3056,38823.613
3057,10894635.0
3058,301333860.0
3059,1076420.4
3060,87452290.0
3061,27449620.0
3062,21289202.0
3063,4998889.0
3064,42188456.0
3065,50231884.0
3066,32567028.0
3067,220792.5
3068,79571560.0
3069,237571300.0
3070,730336.94
3071,4387350.0
3072,469130050.0
3073,2776823.8
3074,609145.9
3075,107233420.0
3076,82067840.0
3077,4680212.5
3078,88139864.0
3079,29624746.0
3080,125032104.0
3081,22348926.0
3082,4265818.0
3083,8943258.0
3084,3387.5347
3085,11681418.0
3086,86412180.0
3087,53105.137
3088,1368365.8
3089,87464.914
3090,40324290.0
3091,9150488.0
3092,4370483.0
3093,269439840.0
3094,144298900.0
3095,31333446.0
3096,3284347.0
3097,573828400.0
3098,28046220.0
3099,44673840.0
3100,5257484.5
3101,12093260.0
3102,142263.62
3103,1004095.94
3104,3556001.0
3105,60656900.0
3106,63139036.0
3107,31698804.0
3108,8002164.0
3109,22615734.0
3110,494490800.0
3111,7485595.0
3112,125176.234
3113,3651100.5
3114,14217253.0
3115,10595010.0
3116,5074052.5
3117,126685.85
3118,213100.45
3119,406398000.0
3120,36353604.0
3121,150121.6
3122,2441976.5
3123,18314220.0
3124,885080.25
3125,320005.6
3126,41812188.0
3127,2371587.2
3128,27038696.0
3129,256161000.0
3130,9111424.0
3131,539076.0
3132,7294570.0
3133,247566.22
3134,5127371.0
3135,2014556.5
3136,3918777.8
3137,15878684.0
3138,1707576.0
3139,16735061.0
3140,134993020.0
3141,9631753.0
3142,1687965.4
3143,224346990.0
3144,7162498.0
3145,528992.25
3146,1271112.4
3147,9661413.0
3148,519649.9
3149,7404710.0
3150,48093324.0
3151,10845436.0
3152,24673450.0
3153,362138.12
3154,2752559.2
3155,34892770.0
3156,8233134.0
3157,15018131.0
3158,191822780.0
3159,8431947.0
3160,10564721.0
3161,215040.52
3162,494055.4
3163,126011544.0
3164,2086793.8
3165,80122.82
3166,243295.39
3167,68356350.0
3168,144260.8
3169,17053286.0
3170,10369633.0
3171,15974159.0
3172,49516348.0
3173,422130.66
3174,540095.94
3175,4228941.5
3176,58999172.0
3177,85322730.0
3178,526780.7
3179,7220546.5
3180,439062.03
3181,304429.72
3182,191243400.0
3183,28193178.0
3184,27776048.0
3185,83808360.0
3186,37964270.0
3187,9862101.0
3188,10129111.0
3189,131965300.0
3190,18387268.0
3191,6490295.0
3192,5395771.5
3193,172930930.0
3194,44009096.0
3195,116517.89
3196,5714107.0
3197,854797.3
3198,4563345.0
3199,249494540.0
3200,9511445.0
3201,1740715.2
3202,8850622.0
3203,2309788.8
3204,4974540.0
3205,584112.8
3206,33970836.0
3207,84113750.0
3208,1005773.1
3209,2132187.5
3210,612877100.0
3211,534190.1
3212,63135540.0
3213,23915832.0
3214,6916286.0
3215,1729075.8
3216,5702327.0
3217,343473700.0
3218,608689.44
3219,64853.137
3220,124881000.0
3221,25334604.0
3222,216717.6
3223,37196690.0
3224,12874.657
3225,1345729.8
3226,15496483.0
3227,74142260.0
3228,72283710.0
3229,169200050.0
3230,22324770.0
3231,29193786.0
3232,9872546.0
3233,2800931.0
3234,3422810.5
3235,167981.05
3236,51907.746
3237,8541443.0
3238,1006595.5
3239,44686.75
3240,247180220.0
3241,3501388.0
3242,8344018.5
3243,6874279.5
3244,946251.2
3245,35805.5
3246,8818816.0
3247,8529469.0
3248,71344760.0
3249,33421720.0
3250,426888770.0
3251,330600.72
3252,17734236.0
3253,96589310.0
3254,863066.5
3255,30699.76
3256,5466778.5
3257,5307357.5
3258,4979163.0
3259,23638466.0
3260,1062064.1
3261,481376770.0
3262,6773547.5
3263,47939.58
3264,98098.75
3265,27619.977
3266,270020.28
3267,45342310.0
3268,312618.0
3269,23798114.0
3270,29366746.0
3271,2166241.8
3272,4299275.0
3273,11258728.0
3274,380755330.0
3275,6862816.5
3276,103090.59
3277,1632142.4
3278,35470924.0
3279,10102639.0
3280,426020060.0
3281,108923.85
3282,4661672.5
3283,289652860.0
3284,29727366.0
3285,67043172.0
3286,168879.61
3287,1746215.5
3288,12500008.0
3289,98298250.0
3290,23110004.0
3291,64890428.0
3292,181611740.0
3293,49681716.0
3294,3322418.8
3295,11271018.0
3296,1566193.2
3297,2264260.2
3298,49609844.0
3299,2011701.8
3300,40199496.0
3301,136690.05
3302,7393067.0
3303,935814.06
3304,5848035.0
3305,43022930.0
3306,635642.06
3307,17339754.0
3308,10787525.0
3309,795405.0
3310,8567803.0
3311,1750547.4
3312,247977.84
3313,41561252.0
3314,19885396.0
3315,56321570.0
3316,34253990.0
3317,235073.7
3318,16218.07
3319,17585590.0
3320,3883160.2
3321,7968010.0
3322,2343901.5
3323,153936510.0
3324,2018398.9
3325,141878700.0
3326,294100350.0
3327,47574196.0
3328,23385762.0
3329,7641028.5
3330,132157490.0
3331,2724744.0
3332,94882400.0
3333,214465730.0
3334,1829379.5
3335,24559216.0
3336,2151734.2
3337,165595.94
3338,13409477.0
3339,762327.06
3340,104693240.0
3341,3727620.5
3342,83349890.0
3343,121539900.0
3344,714827.06
3345,1769534.5
3346,18555106.0
3347,257080.78
3348,27372294.0
3349,103068540.0
3350,358662080.0
3351,6534558.5
3352,1296892.5
3353,80803200.0
3354,3164453.2
3355,3112123.5
3356,9783823.0
3357,1907138.2
3358,17226978.0
3359,26318056.0
3360,6858707.5
3361,77761200.0
3362,12499913.0
3363,1164215.5
3364,15021712.0
3365,52723.684
3366,107783590.0
3367,105816870.0
3368,1657701.0
3369,29704696.0
